j_i: 0, vi: 392, bitPtr: 15, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 393, bitPtr: 15, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 394, bitPtr: 15, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 395, bitPtr: 15, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 400, bitPtr: 255, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 401, bitPtr: 255, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 402, bitPtr: 255, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 403, bitPtr: 255, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 404, bitPtr: 255, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 405, bitPtr: 255, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 406, bitPtr: 255, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 407, bitPtr: 255, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 408, bitPtr: 15, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 409, bitPtr: 15, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 410, bitPtr: 15, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 411, bitPtr: 15, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 420, bitPtr: 240, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 421, bitPtr: 240, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 422, bitPtr: 240, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 423, bitPtr: 240, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 424, bitPtr: 15, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 425, bitPtr: 15, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 426, bitPtr: 15, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 427, bitPtr: 15, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 436, bitPtr: 240, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 437, bitPtr: 240, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 438, bitPtr: 240, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 439, bitPtr: 240, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 440, bitPtr: 15, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 441, bitPtr: 15, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 442, bitPtr: 15, bitMask: 4, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 443, bitPtr: 15, bitMask: 8, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 465, bitPtr: 50, bitMask: 2, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 468, bitPtr: 50, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 469, bitPtr: 50, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 476, bitPtr: 144, bitMask: 16, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 479, bitPtr: 144, bitMask: 128, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 485, bitPtr: 96, bitMask: 32, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 486, bitPtr: 96, bitMask: 64, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
j_i: 0, vi: 488, bitPtr: 15, bitMask: 1, intensity: 0, lightType: 1, rgb: (0.3252399861333448, 0.4381731381975254, 0.6922727303419316)
